file_number,event_number,ixn_number,true_ixn_number,cc,nprim,nsec,nneutron,nproton,npip,npim,npi0,mode,match
0.0,33,0,0,1,23,4,11,10,0,0,1,3,1
0.0,79,3,2,1,6,17,2,0,1,1,1,3,1
0.0,105,0,0,1,16,11,4,8,1,1,1,3,1
0.0,155,0,0,1,4,11,1,0,0,1,1,3,1
1.0,3,0,0,1,11,10,5,3,1,1,0,3,1
1.0,20,2,2,1,5,4,1,2,0,1,0,4,1
1.0,33,0,0,1,5,8,1,0,1,2,0,3,1
1.0,51,0,0,1,3,1,1,0,0,0,0,1,1
1.0,93,0,0,1,7,50,1,0,2,2,1,3,1
1.0,96,3,3,1,3,9,0,1,0,1,0,4,1
1.0,101,1,1,1,5,2,3,1,0,0,0,10,1
1.0,108,0,0,1,15,4,7,4,0,1,1,3,1
1.0,118,3,2,1,8,8,5,0,1,1,0,3,1
1.0,143,0,0,1,9,41,2,0,3,1,2,3,1
1.0,179,0,0,1,11,0,8,2,0,0,0,4,1
2.0,18,1,1,1,3,5,1,0,0,0,0,1,1
2.0,25,0,0,1,11,4,3,6,0,0,1,4,1
2.0,85,2,2,1,3,7,0,1,0,1,0,3,1
2.0,122,1,1,1,9,11,3,1,0,1,2,3,1
2.0,136,0,0,1,12,10,6,2,0,1,2,3,1
2.0,139,0,0,1,3,1,1,1,0,0,0,1,1
2.0,146,2,2,1,4,2,2,0,0,0,1,4,1
2.0,155,0,0,1,23,6,12,8,0,1,0,4,1
2.0,163,1,1,1,2,0,0,1,0,0,0,1,1
2.0,185,2,1,1,3,8,0,1,1,0,0,3,1
2.0,186,0,0,1,19,21,9,6,0,1,2,3,1
3.0,15,0,0,1,4,5,0,1,0,1,1,3,1
3.0,86,0,0,1,10,12,3,1,1,3,1,3,1
3.0,91,0,0,1,5,4,2,1,0,0,1,4,1
3.0,111,3,2,1,4,5,1,1,1,0,0,4,1
3.0,119,0,0,1,13,3,5,6,1,0,0,3,1
3.0,121,0,0,1,11,1,6,3,0,0,1,4,1
4.0,59,0,0,1,4,14,2,0,0,1,0,3,1
4.0,87,0,0,1,6,12,1,0,1,1,2,3,1
4.0,87,2,2,1,4,3,1,1,0,0,0,1,1
4.0,89,1,1,1,5,1,1,1,1,0,1,3,1
4.0,116,3,1,1,5,2,1,1,0,0,1,4,1
4.0,133,0,0,1,4,0,1,1,0,1,0,4,1
4.0,178,3,0,1,5,18,0,1,0,1,0,3,1
5.0,4,0,0,1,3,0,1,0,0,0,0,1,1
5.0,35,0,0,1,5,5,2,1,0,0,1,4,1
5.0,132,1,1,1,3,21,0,1,0,1,0,3,1
5.0,185,0,0,1,6,8,2,0,1,2,0,3,1
6.0,15,1,1,1,3,1,1,0,0,0,0,1,1
6.0,26,0,0,1,3,15,1,0,0,0,1,3,1
6.0,41,1,1,1,15,19,6,6,0,1,1,3,1
6.0,45,1,1,1,2,1,1,0,0,0,0,1,1
6.0,49,1,1,1,3,14,1,0,0,0,1,4,1
6.0,69,2,2,1,7,5,1,1,1,3,0,3,1
6.0,89,0,0,1,3,4,0,0,0,1,0,5,1
