file_name,event,vtx_r,vtx_t,matched_true_signal
/exp/dune/data/users/noeroy/prod/MiniRun6.2_1E19_RHC/MiniRun6.2_1E19_RHC.caf/CAF/0000000/MiniRun6.2_1E19_RHC.caf.0000586.CAF.root,26,0,0,1
/exp/dune/data/users/noeroy/prod/MiniRun6.2_1E19_RHC/MiniRun6.2_1E19_RHC.caf/CAF/0000000/MiniRun6.2_1E19_RHC.caf.0000586.CAF.root,29,1,1,1
/exp/dune/data/users/noeroy/prod/MiniRun6.2_1E19_RHC/MiniRun6.2_1E19_RHC.caf/CAF/0000000/MiniRun6.2_1E19_RHC.caf.0000586.CAF.root,55,2,1,1
/exp/dune/data/users/noeroy/prod/MiniRun6.2_1E19_RHC/MiniRun6.2_1E19_RHC.caf/CAF/0000000/MiniRun6.2_1E19_RHC.caf.0000586.CAF.root,156,2,2,1
/exp/dune/data/users/noeroy/prod/MiniRun6.2_1E19_RHC/MiniRun6.2_1E19_RHC.caf/CAF/0000000/MiniRun6.2_1E19_RHC.caf.0000586.CAF.root,160,1,1,1
/exp/dune/data/users/noeroy/prod/MiniRun6.2_1E19_RHC/MiniRun6.2_1E19_RHC.caf/CAF/0000000/MiniRun6.2_1E19_RHC.caf.0000419.CAF.root,1,2,4,1
/exp/dune/data/users/noeroy/prod/MiniRun6.2_1E19_RHC/MiniRun6.2_1E19_RHC.caf/CAF/0000000/MiniRun6.2_1E19_RHC.caf.0000927.CAF.root,40,0,0,1
/exp/dune/data/users/noeroy/prod/MiniRun6.2_1E19_RHC/MiniRun6.2_1E19_RHC.caf/CAF/0000000/MiniRun6.2_1E19_RHC.caf.0000411.CAF.root,91,0,0,0
/exp/dune/data/users/noeroy/prod/MiniRun6.2_1E19_RHC/MiniRun6.2_1E19_RHC.caf/CAF/0000000/MiniRun6.2_1E19_RHC.caf.0000411.CAF.root,184,3,3,1
/exp/dune/data/users/noeroy/prod/MiniRun6.2_1E19_RHC/MiniRun6.2_1E19_RHC.caf/CAF/0000000/MiniRun6.2_1E19_RHC.caf.0000598.CAF.root,58,0,0,1
/exp/dune/data/users/noeroy/prod/MiniRun6.2_1E19_RHC/MiniRun6.2_1E19_RHC.caf/CAF/0000000/MiniRun6.2_1E19_RHC.caf.0000598.CAF.root,72,1,1,1
