file_name,event,vtx_r,vtx_t,matched_true_signal
/exp/dune/data/users/lmoralep/data/MiniRunF6.3_1E19_FHC.caf.0000203.CAF.root,138,2,2,0
/exp/dune/data/users/lmoralep/data/MiniRunF6.3_1E19_FHC.caf.0000213.CAF.root,126,1,2,0
/exp/dune/data/users/lmoralep/data/MiniRunF6.3_1E19_FHC.caf.0000382.CAF.root,226,5,5,0
/exp/dune/data/users/lmoralep/data/MiniRunF6.3_1E19_FHC.caf.0000222.CAF.root,45,3,3,0
/exp/dune/data/users/lmoralep/data/MiniRunF6.3_1E19_FHC.caf.0000479.CAF.root,148,1,0,0
/exp/dune/data/users/lmoralep/data/MiniRunF6.3_1E19_FHC.caf.0000103.CAF.root,4,3,3,1
/exp/dune/data/users/lmoralep/data/MiniRunF6.3_1E19_FHC.caf.0000103.CAF.root,128,6,6,1
/exp/dune/data/users/lmoralep/data/MiniRunF6.3_1E19_FHC.caf.0000763.CAF.root,49,3,4,0
/exp/dune/data/users/lmoralep/data/MiniRunF6.3_1E19_FHC.caf.0000052.CAF.root,69,1,0,1
/exp/dune/data/users/lmoralep/data/MiniRunF6.3_1E19_FHC.caf.0000136.CAF.root,221,1,1,1
/exp/dune/data/users/lmoralep/data/MiniRunF6.3_1E19_FHC.caf.0000974.CAF.root,39,3,2,0
/exp/dune/data/users/lmoralep/data/MiniRunF6.3_1E19_FHC.caf.0000545.CAF.root,16,1,2,1
/exp/dune/data/users/lmoralep/data/MiniRunF6.3_1E19_FHC.caf.0000609.CAF.root,169,1,1,1
/exp/dune/data/users/lmoralep/data/MiniRunF6.3_1E19_FHC.caf.0000983.CAF.root,1,3,2,1
/exp/dune/data/users/lmoralep/data/MiniRunF6.3_1E19_FHC.caf.0000983.CAF.root,119,1,1,1
/exp/dune/data/users/lmoralep/data/MiniRunF6.3_1E19_FHC.caf.0000983.CAF.root,148,0,0,0
/exp/dune/data/users/lmoralep/data/MiniRunF6.3_1E19_FHC.caf.0000945.CAF.root,32,1,3,0
/exp/dune/data/users/lmoralep/data/MiniRunF6.3_1E19_FHC.caf.0000554.CAF.root,215,0,0,0
/exp/dune/data/users/lmoralep/data/MiniRunF6.3_1E19_FHC.caf.0000887.CAF.root,70,2,3,0
/exp/dune/data/users/lmoralep/data/MiniRunF6.3_1E19_FHC.caf.0000887.CAF.root,215,2,3,1
/exp/dune/data/users/lmoralep/data/MiniRunF6.3_1E19_FHC.caf.0000585.CAF.root,57,2,2,1
/exp/dune/data/users/lmoralep/data/MiniRunF6.3_1E19_FHC.caf.0000507.CAF.root,102,1,1,0
/exp/dune/data/users/lmoralep/data/MiniRunF6.3_1E19_FHC.caf.0000745.CAF.root,215,3,3,0
/exp/dune/data/users/lmoralep/data/MiniRunF6.3_1E19_FHC.caf.0000276.CAF.root,69,2,2,1
/exp/dune/data/users/lmoralep/data/MiniRunF6.3_1E19_FHC.caf.0000276.CAF.root,-1,1,1,1
/exp/dune/data/users/lmoralep/data/MiniRunF6.3_1E19_FHC.caf.0000531.CAF.root,10,2,1,1
/exp/dune/data/users/lmoralep/data/MiniRunF6.3_1E19_FHC.caf.0000531.CAF.root,57,0,0,1
/exp/dune/data/users/lmoralep/data/MiniRunF6.3_1E19_FHC.caf.0000531.CAF.root,191,2,4,0
/exp/dune/data/users/lmoralep/data/MiniRunF6.3_1E19_FHC.caf.0000422.CAF.root,100,4,6,0
/exp/dune/data/users/lmoralep/data/MiniRunF6.3_1E19_FHC.caf.0000771.CAF.root,71,0,0,1
/exp/dune/data/users/lmoralep/data/MiniRunF6.3_1E19_FHC.caf.0000938.CAF.root,125,3,3,0
/exp/dune/data/users/lmoralep/data/MiniRunF6.3_1E19_FHC.caf.0000232.CAF.root,220,2,2,1
/exp/dune/data/users/lmoralep/data/MiniRunF6.3_1E19_FHC.caf.0000649.CAF.root,6,4,3,1
/exp/dune/data/users/lmoralep/data/MiniRunF6.3_1E19_FHC.caf.0000649.CAF.root,67,2,2,0
/exp/dune/data/users/lmoralep/data/MiniRunF6.3_1E19_FHC.caf.0000649.CAF.root,93,2,2,0
/exp/dune/data/users/lmoralep/data/MiniRunF6.3_1E19_FHC.caf.0000649.CAF.root,120,1,1,0
/exp/dune/data/users/lmoralep/data/MiniRunF6.3_1E19_FHC.caf.0000649.CAF.root,180,1,1,1
/exp/dune/data/users/lmoralep/data/MiniRunF6.3_1E19_FHC.caf.0000828.CAF.root,178,1,0,1
/exp/dune/data/users/lmoralep/data/MiniRunF6.3_1E19_FHC.caf.0000456.CAF.root,88,2,3,0
/exp/dune/data/users/lmoralep/data/MiniRunF6.3_1E19_FHC.caf.0000648.CAF.root,71,2,2,1
/exp/dune/data/users/lmoralep/data/MiniRunF6.3_1E19_FHC.caf.0000782.CAF.root,190,4,5,0
/exp/dune/data/users/lmoralep/data/MiniRunF6.3_1E19_FHC.caf.0000940.CAF.root,140,3,3,1
/exp/dune/data/users/lmoralep/data/MiniRunF6.3_1E19_FHC.caf.0000656.CAF.root,15,0,0,1
/exp/dune/data/users/lmoralep/data/MiniRunF6.3_1E19_FHC.caf.0000656.CAF.root,16,4,2,0
/exp/dune/data/users/lmoralep/data/MiniRunF6.3_1E19_FHC.caf.0000656.CAF.root,159,2,2,1
/exp/dune/data/users/lmoralep/data/MiniRunF6.3_1E19_FHC.caf.0000042.CAF.root,73,2,3,0
/exp/dune/data/users/lmoralep/data/MiniRunF6.3_1E19_FHC.caf.0000570.CAF.root,223,4,3,0
/exp/dune/data/users/lmoralep/data/MiniRunF6.3_1E19_FHC.caf.0000306.CAF.root,92,1,1,0
/exp/dune/data/users/lmoralep/data/MiniRunF6.3_1E19_FHC.caf.0000435.CAF.root,16,3,3,0
/exp/dune/data/users/lmoralep/data/MiniRunF6.3_1E19_FHC.caf.0000435.CAF.root,119,2,3,0
